source,metric,value,date
"Datahub
(Shopify)",AUR,23.2,2024-05-01
"Datahub
(Shopify)",AUR,28.16,2023-05-01
"Datahub
(Shopify)",AUR,27.28,2022-05-01
"Datahub
(Shopify)",AUR,23.6,2021-05-01
"Datahub
(Shopify)",AOV,103.86,2025-05-01
"Datahub
(Shopify)",AOV,99.92,2024-05-01
"Datahub
(Shopify)",AOV,99.72,2023-05-01
"Datahub
(Shopify)",AOV,112.52,2022-05-01
"Datahub
(Shopify)",AOV,107.0,2021-05-01
"Datahub
(Shopify)",UPT,,2025-05-01
"Datahub
(Shopify)",UPT,4.1,2024-05-01
"Datahub
(Shopify)",UPT,4.1,2023-05-01
"Datahub
(Shopify)",UPT,4.5,2022-05-01
"Datahub
(Shopify)",UPT,4.8,2021-05-01
"Datahub
(Shopify)",REPEAT CUSTOMER RATE,,2025-05-01
"Datahub
(Shopify)",REPEAT CUSTOMER RATE,52.8,2024-05-01
"Datahub
(Shopify)",REPEAT CUSTOMER RATE,51.68,2023-05-01
"Datahub
(Shopify)",REPEAT CUSTOMER RATE,55.75,2022-05-01
"Datahub
(Shopify)",REPEAT CUSTOMER RATE,43.35,2021-05-01
Datahub,MEDIA ROAS (only ad cost),2.1,2025-05-01
Datahub,MEDIA ROAS (only ad cost),1.9,2024-05-01
Datahub,MEDIA ROAS (only ad cost),2.4,2023-05-01
Datahub,MEDIA ROAS (only ad cost),2.7,2022-05-01
Datahub,MEDIA ROAS (only ad cost),7.1,2021-05-01
Datahub,"MARKETING ROAS 
(ad cost, agency cost, organic search, email/SMS)",4.8,2025-05-01
Datahub,"MARKETING ROAS 
(ad cost, agency cost, organic search, email/SMS)",4.3,2024-05-01
Datahub,"MARKETING ROAS 
(ad cost, agency cost, organic search, email/SMS)",,2023-05-01
Datahub,"MARKETING ROAS 
(ad cost, agency cost, organic search, email/SMS)",,2022-05-01
Datahub,"MARKETING ROAS 
(ad cost, agency cost, organic search, email/SMS)",,2021-05-01
"Listrak = Based on full file""sends"" in-month 
Insider = Based on list size in portal",EMAIL LIST SIZE,330297.0,2025-05-01
"Listrak = Based on full file""sends"" in-month 
Insider = Based on list size in portal",EMAIL LIST SIZE,,2024-05-01
"Listrak = Based on full file""sends"" in-month 
Insider = Based on list size in portal",EMAIL LIST SIZE,,2023-05-01
"Listrak = Based on full file""sends"" in-month 
Insider = Based on list size in portal",EMAIL LIST SIZE,,2022-05-01
"Listrak = Based on full file""sends"" in-month 
Insider = Based on list size in portal",EMAIL LIST SIZE,,2021-05-01
Datahub,CAC,61.79,2025-05-01
Datahub,CAC,44.92,2024-05-01
Datahub,CAC,33.13,2023-05-01
Datahub,CAC,32.42,2022-05-01
Datahub,CAC,10.49,2021-05-01
Datahub,TOTAL COST (Ads & Agency Fees),,2025-05-01
Datahub,TOTAL COST (Ads & Agency Fees),352110.0,2024-05-01
Datahub,TOTAL COST (Ads & Agency Fees),321961.0,2023-05-01
Datahub,TOTAL COST (Ads & Agency Fees),249459.0,2022-05-01
Datahub,TOTAL COST (Ads & Agency Fees),71158.0,2021-05-01
Datahub,CPO,,2025-05-01
Datahub,CPO,23.21,2024-05-01
Datahub,CPO,18.43,2023-05-01
Datahub,CPO,17.09,2022-05-01
Datahub,CPO,6.08,2021-05-01
"Datahub
(Shopify)","GROSS-DISC
Missing 4 months of 21 because of migration from Magento to Shopify",,2025-06-01
"Datahub
(Shopify)","GROSS-DISC
Missing 4 months of 21 because of migration from Magento to Shopify",1011702.0,2024-06-01
"Datahub
(Shopify)","GROSS-DISC
Missing 4 months of 21 because of migration from Magento to Shopify",864458.0,2023-06-01
"Datahub
(Shopify)","GROSS-DISC
Missing 4 months of 21 because of migration from Magento to Shopify",812572.0,2022-06-01
"Datahub
(Shopify)","GROSS-DISC
Missing 4 months of 21 because of migration from Magento to Shopify",743366.0,2021-06-01
"Datahub
(GA4)","SESSIONS
Measurement changed after GA4 in June 23.",,2025-06-01
"Datahub
(GA4)","SESSIONS
Measurement changed after GA4 in June 23.",226315.0,2024-06-01
"Datahub
(GA4)","SESSIONS
Measurement changed after GA4 in June 23.",242070.0,2023-06-01
"Datahub
(GA4)","SESSIONS
Measurement changed after GA4 in June 23.",244580.0,2022-06-01
"Datahub
(GA4)","SESSIONS
Measurement changed after GA4 in June 23.",171400.0,2021-06-01
"Datahub
(Shopify)",ORDERS,,2025-06-01
"Datahub
(Shopify)",ORDERS,9348.0,2024-06-01
"Datahub
(Shopify)",ORDERS,8689.0,2023-06-01
"Datahub
(Shopify)",ORDERS,7436.0,2022-06-01
"Datahub
(Shopify)",ORDERS,7379.0,2021-06-01
"Datahub
(Shopify)",TOTAL CUSTOMERS,3016.0,2025-06-01
"Datahub
(Shopify)",TOTAL CUSTOMERS,8966.0,2024-06-01
"Datahub
(Shopify)",TOTAL CUSTOMERS,8294.0,2023-06-01
"Datahub
(Shopify)",TOTAL CUSTOMERS,7135.0,2022-06-01
"Datahub
(Shopify)",TOTAL CUSTOMERS,7198.0,2021-06-01
"Datahub
(Shopify)",NEW CUSTOMERS,,2025-06-01
"Datahub
(Shopify)",NEW CUSTOMERS,4131.0,2024-06-01
"Datahub
(Shopify)",NEW CUSTOMERS,3993.0,2023-06-01
"Datahub
(Shopify)",NEW CUSTOMERS,3371.0,2022-06-01
"Datahub
(Shopify)",NEW CUSTOMERS,4124.0,2021-06-01
"Datahub
(Shopify)",REPEAT CUSTOMERS,3016.0,2025-06-01
"Datahub
(Shopify)",REPEAT CUSTOMERS,4835.0,2024-06-01
"Datahub
(Shopify)",REPEAT CUSTOMERS,4301.0,2023-06-01
"Datahub
(Shopify)",REPEAT CUSTOMERS,3764.0,2022-06-01
"Datahub
(Shopify)",REPEAT CUSTOMERS,3074.0,2021-06-01
"Datahub
(Shopify orders/GA sessions)",CONVERSION,,2025-06-01
"Datahub
(Shopify orders/GA sessions)",CONVERSION,4.13,2024-06-01
"Datahub
(Shopify orders/GA sessions)",CONVERSION,3.59,2023-06-01
"Datahub
(Shopify orders/GA sessions)",CONVERSION,3.04,2022-06-01
"Datahub
(Shopify orders/GA sessions)",CONVERSION,4.31,2021-06-01
"Datahub
(Shopify)",AUR,,2025-06-01
"Datahub
(Shopify)",AUR,26.71,2024-06-01
"Datahub
(Shopify)",AUR,29.38,2023-06-01
"Datahub
(Shopify)",AUR,30.29,2022-06-01
"Datahub
(Shopify)",AUR,27.64,2021-06-01
"Datahub
(Shopify)",AOV,,2025-06-01
"Datahub
(Shopify)",AOV,108.23,2024-06-01
"Datahub
(Shopify)",AOV,104.03,2023-06-01
"Datahub
(Shopify)",AOV,115.66,2022-06-01
"Datahub
(Shopify)",AOV,109.0,2021-06-01
"Datahub
(Shopify)",UPT,,2025-06-01
"Datahub
(Shopify)",UPT,3.8,2024-06-01
"Datahub
(Shopify)",UPT,3.9,2023-06-01
"Datahub
(Shopify)",UPT,4.2,2022-06-01
"Datahub
(Shopify)",UPT,4.2,2021-06-01
"Datahub
(Shopify)",REPEAT CUSTOMER RATE,,2025-06-01
"Datahub
(Shopify)",REPEAT CUSTOMER RATE,53.93,2024-06-01
"Datahub
(Shopify)",REPEAT CUSTOMER RATE,51.86,2023-06-01
"Datahub
(Shopify)",REPEAT CUSTOMER RATE,52.75,2022-06-01
"Datahub
(Shopify)",REPEAT CUSTOMER RATE,42.71,2021-06-01
Datahub,MEDIA ROAS (only ad cost),,2025-06-01
Datahub,MEDIA ROAS (only ad cost),2.4,2024-06-01
Datahub,MEDIA ROAS (only ad cost),2.9,2023-06-01
Datahub,MEDIA ROAS (only ad cost),2.1,2022-06-01
Datahub,MEDIA ROAS (only ad cost),5.1,2021-06-01
Datahub,"MARKETING ROAS 
(ad cost, agency cost, organic search, email/SMS)",,2025-06-01
Datahub,"MARKETING ROAS 
(ad cost, agency cost, organic search, email/SMS)",5.2,2024-06-01
Datahub,"MARKETING ROAS 
(ad cost, agency cost, organic search, email/SMS)",,2023-06-01
Datahub,"MARKETING ROAS 
(ad cost, agency cost, organic search, email/SMS)",,2022-06-01
Datahub,"MARKETING ROAS 
(ad cost, agency cost, organic search, email/SMS)",,2021-06-01
"Listrak = Based on full file""sends"" in-month 
Insider = Based on list size in portal",EMAIL LIST SIZE,327055.0,2025-06-01
"Listrak = Based on full file""sends"" in-month 
Insider = Based on list size in portal",EMAIL LIST SIZE,,2024-06-01
"Listrak = Based on full file""sends"" in-month 
Insider = Based on list size in portal",EMAIL LIST SIZE,,2023-06-01
"Listrak = Based on full file""sends"" in-month 
Insider = Based on list size in portal",EMAIL LIST SIZE,,2022-06-01
"Listrak = Based on full file""sends"" in-month 
Insider = Based on list size in portal",EMAIL LIST SIZE,,2021-06-01
Datahub,CAC,59.57,2025-06-01
Datahub,CAC,40.29,2024-06-01
Datahub,CAC,28.72,2023-06-01
Datahub,CAC,39.67,2022-06-01
Datahub,CAC,12.72,2021-06-01
Datahub,TOTAL COST (Ads & Agency Fees),,2025-06-01
Datahub,TOTAL COST (Ads & Agency Fees),193961.0,2024-06-01
Datahub,TOTAL COST (Ads & Agency Fees),153413.0,2023-06-01
Datahub,TOTAL COST (Ads & Agency Fees),178926.0,2022-06-01
Datahub,TOTAL COST (Ads & Agency Fees),52470.0,2021-06-01
Datahub,CPO,,2025-06-01
Datahub,CPO,20.75,2024-06-01
Datahub,CPO,17.66,2023-06-01
Datahub,CPO,24.06,2022-06-01
Datahub,CPO,7.11,2021-06-01
"Datahub
(Shopify)","GROSS-DISC
Missing 4 months of 21 because of migration from Magento to Shopify",,2025-07-01
"Datahub
(Shopify)","GROSS-DISC
Missing 4 months of 21 because of migration from Magento to Shopify",948312.0,2024-07-01
"Datahub
(Shopify)","GROSS-DISC
Missing 4 months of 21 because of migration from Magento to Shopify",1036750.0,2023-07-01
"Datahub
(Shopify)","GROSS-DISC
Missing 4 months of 21 because of migration from Magento to Shopify",792936.0,2022-07-01
"Datahub
(Shopify)","GROSS-DISC
Missing 4 months of 21 because of migration from Magento to Shopify",837304.0,2021-07-01
"Datahub
(GA4)","SESSIONS
Measurement changed after GA4 in June 23.",,2025-07-01
"Datahub
(GA4)","SESSIONS
Measurement changed after GA4 in June 23.",264337.0,2024-07-01
"Datahub
(GA4)","SESSIONS
Measurement changed after GA4 in June 23.",234910.0,2023-07-01
"Datahub
(GA4)","SESSIONS
Measurement changed after GA4 in June 23.",215670.0,2022-07-01
"Datahub
(GA4)","SESSIONS
Measurement changed after GA4 in June 23.",177630.0,2021-07-01
"Datahub
(Shopify)",ORDERS,,2025-07-01
"Datahub
(Shopify)",ORDERS,8750.0,2024-07-01
"Datahub
(Shopify)",ORDERS,10527.0,2023-07-01
"Datahub
(Shopify)",ORDERS,7129.0,2022-07-01
"Datahub
(Shopify)",ORDERS,8159.0,2021-07-01
"Datahub
(Shopify)",TOTAL CUSTOMERS,0.0,2025-07-01
"Datahub
(Shopify)",TOTAL CUSTOMERS,8417.0,2024-07-01
"Datahub
(Shopify)",TOTAL CUSTOMERS,10083.0,2023-07-01
"Datahub
(Shopify)",TOTAL CUSTOMERS,6804.0,2022-07-01
"Datahub
(Shopify)",TOTAL CUSTOMERS,7855.0,2021-07-01
"Datahub
(Shopify)",NEW CUSTOMERS,,2025-07-01
"Datahub
(Shopify)",NEW CUSTOMERS,4016.0,2024-07-01
"Datahub
(Shopify)",NEW CUSTOMERS,5147.0,2023-07-01
"Datahub
(Shopify)",NEW CUSTOMERS,3266.0,2022-07-01
"Datahub
(Shopify)",NEW CUSTOMERS,3959.0,2021-07-01
"Datahub
(Shopify)",REPEAT CUSTOMERS,,2025-07-01
"Datahub
(Shopify)",REPEAT CUSTOMERS,4401.0,2024-07-01
"Datahub
(Shopify)",REPEAT CUSTOMERS,4936.0,2023-07-01
"Datahub
(Shopify)",REPEAT CUSTOMERS,3538.0,2022-07-01
"Datahub
(Shopify)",REPEAT CUSTOMERS,3896.0,2021-07-01
"Datahub
(Shopify orders/GA sessions)",CONVERSION,,2025-07-01
"Datahub
(Shopify orders/GA sessions)",CONVERSION,3.31,2024-07-01
"Datahub
(Shopify orders/GA sessions)",CONVERSION,4.48,2023-07-01
"Datahub
(Shopify orders/GA sessions)",CONVERSION,3.31,2022-07-01
"Datahub
(Shopify orders/GA sessions)",CONVERSION,4.59,2021-07-01
"Datahub
(Shopify)",AUR,,2025-07-01
"Datahub
(Shopify)",AUR,25.94,2024-07-01
"Datahub
(Shopify)",AUR,25.06,2023-07-01
"Datahub
(Shopify)",AUR,31.15,2022-07-01
"Datahub
(Shopify)",AUR,29.51,2021-07-01
"Datahub
(Shopify)",AOV,,2025-07-01
"Datahub
(Shopify)",AOV,108.38,2024-07-01
"Datahub
(Shopify)",AOV,101.82,2023-07-01
"Datahub
(Shopify)",AOV,114.72,2022-07-01
"Datahub
(Shopify)",AOV,108.0,2021-07-01
"Datahub
(Shopify)",UPT,,2025-07-01
"Datahub
(Shopify)",UPT,4.0,2024-07-01
"Datahub
(Shopify)",UPT,4.4,2023-07-01
"Datahub
(Shopify)",UPT,4.1,2022-07-01
"Datahub
(Shopify)",UPT,3.9,2021-07-01
"Datahub
(Shopify)",REPEAT CUSTOMER RATE,,2025-07-01
"Datahub
(Shopify)",REPEAT CUSTOMER RATE,52.29,2024-07-01
"Datahub
(Shopify)",REPEAT CUSTOMER RATE,48.95,2023-07-01
"Datahub
(Shopify)",REPEAT CUSTOMER RATE,52.0,2022-07-01
"Datahub
(Shopify)",REPEAT CUSTOMER RATE,49.6,2021-07-01
Datahub,MEDIA ROAS (only ad cost),,2025-07-01
Datahub,MEDIA ROAS (only ad cost),2.0,2024-07-01
Datahub,MEDIA ROAS (only ad cost),3.4,2023-07-01
Datahub,MEDIA ROAS (only ad cost),2.8,2022-07-01
Datahub,MEDIA ROAS (only ad cost),6.3,2021-07-01
Datahub,"MARKETING ROAS 
(ad cost, agency cost, organic search, email/SMS)",,2025-07-01
Datahub,"MARKETING ROAS 
(ad cost, agency cost, organic search, email/SMS)",4.3,2024-07-01
Datahub,"MARKETING ROAS 
(ad cost, agency cost, organic search, email/SMS)",,2023-07-01
Datahub,"MARKETING ROAS 
(ad cost, agency cost, organic search, email/SMS)",,2022-07-01
Datahub,"MARKETING ROAS 
(ad cost, agency cost, organic search, email/SMS)",,2021-07-01
"Listrak = Based on full file""sends"" in-month 
Insider = Based on list size in portal",EMAIL LIST SIZE,,2025-07-01
"Listrak = Based on full file""sends"" in-month 
Insider = Based on list size in portal",EMAIL LIST SIZE,,2024-07-01
"Listrak = Based on full file""sends"" in-month 
Insider = Based on list size in portal",EMAIL LIST SIZE,,2023-07-01
"Listrak = Based on full file""sends"" in-month 
Insider = Based on list size in portal",EMAIL LIST SIZE,,2022-07-01
"Listrak = Based on full file""sends"" in-month 
Insider = Based on list size in portal",EMAIL LIST SIZE,,2021-07-01
Datahub,CAC,,2025-07-01
Datahub,CAC,48.04,2024-07-01
Datahub,CAC,22.61,2023-07-01
Datahub,CAC,30.99,2022-07-01
Datahub,CAC,12.53,2021-07-01
Datahub,TOTAL COST (Ads & Agency Fees),,2025-07-01
Datahub,TOTAL COST (Ads & Agency Fees),222592.0,2024-07-01
Datahub,TOTAL COST (Ads & Agency Fees),154081.0,2023-07-01
Datahub,TOTAL COST (Ads & Agency Fees),165841.0,2022-07-01
Datahub,TOTAL COST (Ads & Agency Fees),49602.0,2021-07-01
Datahub,CPO,,2025-07-01
Datahub,CPO,25.44,2024-07-01
Datahub,CPO,14.64,2023-07-01
Datahub,CPO,23.26,2022-07-01
Datahub,CPO,6.08,2021-07-01
"Datahub
(Shopify)","GROSS-DISC
Missing 4 months of 21 because of migration from Magento to Shopify",,2025-08-01
"Datahub
(Shopify)","GROSS-DISC
Missing 4 months of 21 because of migration from Magento to Shopify",1128110.0,2024-08-01
"Datahub
(Shopify)","GROSS-DISC
Missing 4 months of 21 because of migration from Magento to Shopify",991799.0,2023-08-01
"Datahub
(Shopify)","GROSS-DISC
Missing 4 months of 21 because of migration from Magento to Shopify",1040540.0,2022-08-01
"Datahub
(Shopify)","GROSS-DISC
Missing 4 months of 21 because of migration from Magento to Shopify",758426.0,2021-08-01
"Datahub
(GA4)","SESSIONS
Measurement changed after GA4 in June 23.",,2025-08-01
"Datahub
(GA4)","SESSIONS
Measurement changed after GA4 in June 23.",270805.0,2024-08-01
"Datahub
(GA4)","SESSIONS
Measurement changed after GA4 in June 23.",213330.0,2023-08-01
"Datahub
(GA4)","SESSIONS
Measurement changed after GA4 in June 23.",215430.0,2022-08-01
"Datahub
(GA4)","SESSIONS
Measurement changed after GA4 in June 23.",161380.0,2021-08-01
"Datahub
(Shopify)",ORDERS,,2025-08-01
"Datahub
(Shopify)",ORDERS,10341.0,2024-08-01
"Datahub
(Shopify)",ORDERS,9942.0,2023-08-01
"Datahub
(Shopify)",ORDERS,9503.0,2022-08-01
"Datahub
(Shopify)",ORDERS,6818.0,2021-08-01
"Datahub
(Shopify)",TOTAL CUSTOMERS,0.0,2025-08-01
"Datahub
(Shopify)",TOTAL CUSTOMERS,9869.0,2024-08-01
"Datahub
(Shopify)",TOTAL CUSTOMERS,9500.0,2023-08-01
"Datahub
(Shopify)",TOTAL CUSTOMERS,9181.0,2022-08-01
"Datahub
(Shopify)",TOTAL CUSTOMERS,6560.0,2021-08-01
"Datahub
(Shopify)",NEW CUSTOMERS,,2025-08-01
"Datahub
(Shopify)",NEW CUSTOMERS,4376.0,2024-08-01
"Datahub
(Shopify)",NEW CUSTOMERS,4533.0,2023-08-01
"Datahub
(Shopify)",NEW CUSTOMERS,3993.0,2022-08-01
"Datahub
(Shopify)",NEW CUSTOMERS,3328.0,2021-08-01
"Datahub
(Shopify)",REPEAT CUSTOMERS,,2025-08-01
"Datahub
(Shopify)",REPEAT CUSTOMERS,5493.0,2024-08-01
"Datahub
(Shopify)",REPEAT CUSTOMERS,4967.0,2023-08-01
"Datahub
(Shopify)",REPEAT CUSTOMERS,5188.0,2022-08-01
"Datahub
(Shopify)",REPEAT CUSTOMERS,3232.0,2021-08-01
"Datahub
(Shopify orders/GA sessions)",CONVERSION,,2025-08-01
"Datahub
(Shopify orders/GA sessions)",CONVERSION,3.82,2024-08-01
"Datahub
(Shopify orders/GA sessions)",CONVERSION,4.66,2023-08-01
"Datahub
(Shopify orders/GA sessions)",CONVERSION,4.41,2022-08-01
"Datahub
(Shopify orders/GA sessions)",CONVERSION,4.22,2021-08-01
"Datahub
(Shopify)",AUR,,2025-08-01
"Datahub
(Shopify)",AUR,,2024-08-01
"Datahub
(Shopify)",AUR,25.18,2023-08-01
"Datahub
(Shopify)",AUR,28.2,2022-08-01
"Datahub
(Shopify)",AUR,30.93,2021-08-01
"Datahub
(Shopify)",AOV,,2025-08-01
"Datahub
(Shopify)",AOV,109.09,2024-08-01
"Datahub
(Shopify)",AOV,102.45,2023-08-01
"Datahub
(Shopify)",AOV,112.21,2022-08-01
"Datahub
(Shopify)",AOV,115.0,2021-08-01
"Datahub
(Shopify)",UPT,,2025-08-01
"Datahub
(Shopify)",UPT,,2024-08-01
"Datahub
(Shopify)",UPT,4.3,2023-08-01
"Datahub
(Shopify)",UPT,4.3,2022-08-01
"Datahub
(Shopify)",UPT,4.1,2021-08-01
"Datahub
(Shopify)",REPEAT CUSTOMER RATE,,2025-08-01
"Datahub
(Shopify)",REPEAT CUSTOMER RATE,,2024-08-01
"Datahub
(Shopify)",REPEAT CUSTOMER RATE,52.28,2023-08-01
"Datahub
(Shopify)",REPEAT CUSTOMER RATE,56.51,2022-08-01
"Datahub
(Shopify)",REPEAT CUSTOMER RATE,49.27,2021-08-01
Datahub,MEDIA ROAS (only ad cost),,2025-08-01
Datahub,MEDIA ROAS (only ad cost),2.4,2024-08-01
Datahub,MEDIA ROAS (only ad cost),3.2,2023-08-01
Datahub,MEDIA ROAS (only ad cost),3.0,2022-08-01
Datahub,MEDIA ROAS (only ad cost),5.2,2021-08-01
Datahub,"MARKETING ROAS 
(ad cost, agency cost, organic search, email/SMS)",,2025-08-01
Datahub,"MARKETING ROAS 
(ad cost, agency cost, organic search, email/SMS)",5.0,2024-08-01
Datahub,"MARKETING ROAS 
(ad cost, agency cost, organic search, email/SMS)",,2023-08-01
Datahub,"MARKETING ROAS 
(ad cost, agency cost, organic search, email/SMS)",,2022-08-01
Datahub,"MARKETING ROAS 
(ad cost, agency cost, organic search, email/SMS)",,2021-08-01
"Listrak = Based on full file""sends"" in-month 
Insider = Based on list size in portal",EMAIL LIST SIZE,,2025-08-01
"Listrak = Based on full file""sends"" in-month 
Insider = Based on list size in portal",EMAIL LIST SIZE,330984.0,2024-08-01
"Listrak = Based on full file""sends"" in-month 
Insider = Based on list size in portal",EMAIL LIST SIZE,,2023-08-01
"Listrak = Based on full file""sends"" in-month 
Insider = Based on list size in portal",EMAIL LIST SIZE,,2022-08-01
"Listrak = Based on full file""sends"" in-month 
Insider = Based on list size in portal",EMAIL LIST SIZE,,2021-08-01
Datahub,CAC,,2025-08-01
Datahub,CAC,42.97,2024-08-01
Datahub,CAC,26.76,2023-08-01
Datahub,CAC,27.74,2022-08-01
Datahub,CAC,16.18,2021-08-01
Datahub,TOTAL COST (Ads & Agency Fees),,2025-08-01
Datahub,TOTAL COST (Ads & Agency Fees),226602.0,2024-08-01
Datahub,TOTAL COST (Ads & Agency Fees),156861.0,2023-08-01
Datahub,TOTAL COST (Ads & Agency Fees),146739.0,2022-08-01
Datahub,TOTAL COST (Ads & Agency Fees),78398.0,2021-08-01
Datahub,CPO,,2025-08-01
Datahub,CPO,,2024-08-01
Datahub,CPO,15.78,2023-08-01
Datahub,CPO,15.44,2022-08-01
Datahub,CPO,11.5,2021-08-01
"Datahub
(Shopify)","GROSS-DISC
Missing 4 months of 21 because of migration from Magento to Shopify",,2025-09-01
"Datahub
(Shopify)","GROSS-DISC
Missing 4 months of 21 because of migration from Magento to Shopify",958711.0,2024-09-01
"Datahub
(Shopify)","GROSS-DISC
Missing 4 months of 21 because of migration from Magento to Shopify",1182469.0,2023-09-01
"Datahub
(Shopify)","GROSS-DISC
Missing 4 months of 21 because of migration from Magento to Shopify",1504647.0,2022-09-01
"Datahub
(Shopify)","GROSS-DISC
Missing 4 months of 21 because of migration from Magento to Shopify",793354.0,2021-09-01
"Datahub
(GA4)","SESSIONS
Measurement changed after GA4 in June 23.",,2025-09-01
"Datahub
(GA4)","SESSIONS
Measurement changed after GA4 in June 23.",251658.0,2024-09-01
"Datahub
(GA4)","SESSIONS
Measurement changed after GA4 in June 23.",243870.0,2023-09-01
"Datahub
(GA4)","SESSIONS
Measurement changed after GA4 in June 23.",315570.0,2022-09-01
"Datahub
(GA4)","SESSIONS
Measurement changed after GA4 in June 23.",170270.0,2021-09-01
"Datahub
(Shopify)",ORDERS,,2025-09-01
"Datahub
(Shopify)",ORDERS,8876.0,2024-09-01
"Datahub
(Shopify)",ORDERS,12337.0,2023-09-01
"Datahub
(Shopify)",ORDERS,14463.0,2022-09-01
"Datahub
(Shopify)",ORDERS,7261.0,2021-09-01
"Datahub
(Shopify)",TOTAL CUSTOMERS,0.0,2025-09-01
"Datahub
(Shopify)",TOTAL CUSTOMERS,8571.0,2024-09-01
"Datahub
(Shopify)",TOTAL CUSTOMERS,11929.0,2023-09-01
"Datahub
(Shopify)",TOTAL CUSTOMERS,13877.0,2022-09-01
"Datahub
(Shopify)",TOTAL CUSTOMERS,6984.0,2021-09-01
"Datahub
(Shopify)",NEW CUSTOMERS,,2025-09-01
"Datahub
(Shopify)",NEW CUSTOMERS,4164.0,2024-09-01
"Datahub
(Shopify)",NEW CUSTOMERS,5938.0,2023-09-01
"Datahub
(Shopify)",NEW CUSTOMERS,5758.0,2022-09-01
"Datahub
(Shopify)",NEW CUSTOMERS,3470.0,2021-09-01
"Datahub
(Shopify)",REPEAT CUSTOMERS,,2025-09-01
"Datahub
(Shopify)",REPEAT CUSTOMERS,4407.0,2024-09-01
"Datahub
(Shopify)",REPEAT CUSTOMERS,5991.0,2023-09-01
"Datahub
(Shopify)",REPEAT CUSTOMERS,8119.0,2022-09-01
"Datahub
(Shopify)",REPEAT CUSTOMERS,3514.0,2021-09-01
"Datahub
(Shopify orders/GA sessions)",CONVERSION,,2025-09-01
"Datahub
(Shopify orders/GA sessions)",CONVERSION,3.53,2024-09-01
"Datahub
(Shopify orders/GA sessions)",CONVERSION,5.06,2023-09-01
"Datahub
(Shopify orders/GA sessions)",CONVERSION,4.58,2022-09-01
"Datahub
(Shopify orders/GA sessions)",CONVERSION,4.26,2021-09-01
"Datahub
(Shopify)",AUR,,2025-09-01
"Datahub
(Shopify)",AUR,,2024-09-01
"Datahub
(Shopify)",AUR,22.97,2023-09-01
"Datahub
(Shopify)",AUR,25.74,2022-09-01
"Datahub
(Shopify)",AUR,28.46,2021-09-01
"Datahub
(Shopify)",AOV,,2025-09-01
"Datahub
(Shopify)",AOV,108.01,2024-09-01
"Datahub
(Shopify)",AOV,97.57,2023-09-01
"Datahub
(Shopify)",AOV,106.75,2022-09-01
"Datahub
(Shopify)",AOV,112.0,2021-09-01
"Datahub
(Shopify)",UPT,,2025-09-01
"Datahub
(Shopify)",UPT,,2024-09-01
"Datahub
(Shopify)",UPT,4.5,2023-09-01
"Datahub
(Shopify)",UPT,4.6,2022-09-01
"Datahub
(Shopify)",UPT,4.3,2021-09-01
"Datahub
(Shopify)",REPEAT CUSTOMER RATE,,2025-09-01
"Datahub
(Shopify)",REPEAT CUSTOMER RATE,,2024-09-01
"Datahub
(Shopify)",REPEAT CUSTOMER RATE,50.22,2023-09-01
"Datahub
(Shopify)",REPEAT CUSTOMER RATE,58.51,2022-09-01
"Datahub
(Shopify)",REPEAT CUSTOMER RATE,50.32,2021-09-01
Datahub,MEDIA ROAS (only ad cost),,2025-09-01
Datahub,MEDIA ROAS (only ad cost),2.1,2024-09-01
Datahub,MEDIA ROAS (only ad cost),2.8,2023-09-01
Datahub,MEDIA ROAS (only ad cost),2.7,2022-09-01
Datahub,MEDIA ROAS (only ad cost),3.9,2021-09-01
Datahub,"MARKETING ROAS 
(ad cost, agency cost, organic search, email/SMS)",,2025-09-01
Datahub,"MARKETING ROAS 
(ad cost, agency cost, organic search, email/SMS)",4.2,2024-09-01
Datahub,"MARKETING ROAS 
(ad cost, agency cost, organic search, email/SMS)",,2023-09-01
Datahub,"MARKETING ROAS 
(ad cost, agency cost, organic search, email/SMS)",,2022-09-01
Datahub,"MARKETING ROAS 
(ad cost, agency cost, organic search, email/SMS)",,2021-09-01
"Listrak = Based on full file""sends"" in-month 
Insider = Based on list size in portal",EMAIL LIST SIZE,,2025-09-01
"Listrak = Based on full file""sends"" in-month 
Insider = Based on list size in portal",EMAIL LIST SIZE,326300.0,2024-09-01
"Listrak = Based on full file""sends"" in-month 
Insider = Based on list size in portal",EMAIL LIST SIZE,,2023-09-01
"Listrak = Based on full file""sends"" in-month 
Insider = Based on list size in portal",EMAIL LIST SIZE,,2022-09-01
"Listrak = Based on full file""sends"" in-month 
Insider = Based on list size in portal",EMAIL LIST SIZE,,2021-09-01
Datahub,CAC,,2025-09-01
Datahub,CAC,46.58,2024-09-01
Datahub,CAC,27.83,2023-09-01
Datahub,CAC,26.21,2022-09-01
Datahub,CAC,19.87,2021-09-01
Datahub,TOTAL COST (Ads & Agency Fees),,2025-09-01
Datahub,TOTAL COST (Ads & Agency Fees),230447.0,2024-09-01
Datahub,TOTAL COST (Ads & Agency Fees),214507.0,2023-09-01
Datahub,TOTAL COST (Ads & Agency Fees),194971.0,2022-09-01
Datahub,TOTAL COST (Ads & Agency Fees),118444.0,2021-09-01
Datahub,CPO,,2025-09-01
Datahub,CPO,,2024-09-01
Datahub,CPO,17.39,2023-09-01
Datahub,CPO,13.48,2022-09-01
Datahub,CPO,16.31,2021-09-01
